    time           f_x           f_y           f_z          f_xv         f_yv          f_zv         f_xp           f_yp          f_zp     
 0.0040000000 16.3251217952  48.6389681641 0.0000000000 0.6172328936 -0.0793744315 0.0000000000 15.7078889016  48.7183425956 0.0000000000 
 0.0106000000 -9.0968638056 -29.2695144835 0.0000000000 0.3347086645 -0.0714639207 0.0000000000 -9.4315724700 -29.1980505628 0.0000000000 
 0.2304643539  0.1641930533   0.3945820522 0.0000000000 0.0795306905 -0.0087547290 0.0000000000  0.0846623628   0.4033367812 0.0000000000 
 0.2326283571  0.1749226800   0.4767201667 0.0000000000 0.0790841043 -0.0086137934 0.0000000000  0.0958385757   0.4853339601 0.0000000000 
 0.2347916664  0.1722453106   0.4454572356 0.0000000000 0.0787197211 -0.0084817906 0.0000000000  0.0935255895   0.4539390261 0.0000000000 
 0.2369542629  0.1546595366   0.3826271275 0.0000000000 0.0782942836 -0.0084000744 0.0000000000  0.0763652529   0.3910272019 0.0000000000 
 0.2391164125  0.1554675440   0.3921105047 0.0000000000 0.0778867941 -0.0083401899 0.0000000000  0.0775807499   0.4004506946 0.0000000000 
 0.2412789243  0.1684103783   0.4258655252 0.0000000000 0.0775953964 -0.0082462958 0.0000000000  0.0908149820   0.4341118211 0.0000000000 
 0.2434413518  0.1679850173   0.4257169511 0.0000000000 0.0772358859 -0.0081597774 0.0000000000  0.0907491314   0.4338767284 0.0000000000 
 0.2456036028  0.1675773067   0.4255025280 0.0000000000 0.0769251558 -0.0080783298 0.0000000000  0.0906521509   0.4335808578 0.0000000000 
 0.2477655088  0.1671239473   0.4247904613 0.0000000000 0.0766106952 -0.0080005913 0.0000000000  0.0905132521   0.4327910527 0.0000000000 
 0.2499260755  0.1603089244   0.3916355595 0.0000000000 0.0762620798 -0.0079109786 0.0000000000  0.0840468446   0.3995465380 0.0000000000 
 0.2520861908  0.1703640470   0.5012570552 0.0000000000 0.0757644577 -0.0077460299 0.0000000000  0.0945995893   0.5090030850 0.0000000000 
 0.2542460849  0.1224103587   0.2928381795 0.0000000000 0.0752161147 -0.0077159082 0.0000000000  0.0471942440   0.3005540877 0.0000000000 
 0.2564078931  0.1222898155   0.2931188124 0.0000000000 0.0747580283 -0.0076861727 0.0000000000  0.0475317872   0.3008049851 0.0000000000 
