Time (s)	H1 (m)	H2 (m)	H3 (m)	H4 (m)
5.83505863934895	0.1998	0.223666666666667	0.292133333333333	0.187133333333333
5.83603979512998	0.1996	0.223666666666667	0.292333333333333	0.187066666666667
5.8370467708	0.1994	0.2236	0.292533333333333	0.187066666666667
5.83805374647001	0.199133333333333	0.223533333333333	0.292733333333333	0.186933333333333
5.83903490225105	0.198933333333333	0.223466666666667	0.292866666666667	0.186866666666667
5.84004187792107	0.198866666666667	0.223333333333333	0.293	0.186733333333333
5.84104885359108	0.198866666666667	0.223133333333333	0.2932	0.186666666666667
5.84205582926109	0.1988	0.223	0.2934	0.186533333333333
5.84303698504213	0.198666666666667	0.222866666666667	0.293666666666667	0.1864
5.84404396071215	0.198333333333333	0.222866666666667	0.293933333333333	0.186333333333333
5.84505093638216	0.198	0.2228	0.2942	0.186266666666667
5.84605791205217	0.1978	0.222666666666667	0.294466666666667	0.186133333333333
5.84703906783321	0.197666666666667	0.2226	0.294666666666667	0.186066666666667
5.84804604350323	0.197466666666667	0.2224	0.294933333333333	0.186
5.84905301917324	0.197333333333333	0.2222	0.295133333333333	0.185933333333333
5.85003417495428	0.197333333333333	0.222	0.295266666666667	0.185866666666667
5.8510411506243	0.197266666666667	0.222	0.295466666666667	0.185733333333333
5.85204812629431	0.197	0.221933333333333	0.2956	0.185666666666667
5.85305510196432	0.196733333333333	0.221866666666667	0.2958	0.185533333333333
5.85403625774536	0.196333333333333	0.221733333333333	0.296	0.185466666666667
5.85504323341537	0.196066666666667	0.2216	0.2962	0.185333333333333
5.85605020908539	0.196	0.221333333333333	0.2964	0.185266666666667
5.8570571847554	0.195933333333333	0.2212	0.2966	0.1852
5.85803834053644	0.1958	0.221066666666667	0.296733333333333	0.185133333333333
5.85904531620646	0.195533333333333	0.221	0.296933333333333	0.185066666666667
5.86005229187647	0.1954	0.220933333333333	0.297066666666667	0.184933333333333
5.86105926754648	0.195266666666667	0.220866666666667	0.297266666666667	0.184866666666667
5.86204042332752	0.195133333333333	0.220666666666667	0.2974	0.1848
5.86304739899754	0.194933333333333	0.220466666666667	0.297533333333333	0.184666666666667
5.86405437466755	0.194666666666667	0.220266666666667	0.297733333333333	0.1846
5.86503553044859	0.194466666666667	0.220066666666667	0.297866666666667	0.184533333333333
5.86604250611861	0.194333333333333	0.22	0.298	0.1844
5.86704948178862	0.194266666666667	0.219933333333333	0.298133333333333	0.184266666666667
5.86805645745863	0.194133333333333	0.219866666666667	0.298266666666667	0.184266666666667
5.86903761323967	0.194066666666667	0.219733333333333	0.2984	0.184133333333333
5.87004458890969	0.193933333333333	0.2196	0.2986	0.184133333333333
5.8710515645797	0.1938	0.219466666666667	0.2988	0.184
5.87205854024971	0.193666666666667	0.219333333333333	0.299	0.183866666666667
5.87303969603075	0.193533333333333	0.219266666666667	0.299133333333333	0.1838
5.87404667170077	0.193333333333333	0.219266666666667	0.299266666666667	0.183733333333333
5.87505364737078	0.1932	0.219266666666667	0.2994	0.183733333333333
5.87603480315182	0.193133333333333	0.219133333333333	0.299533333333333	0.183733333333333
5.87704177882183	0.193066666666667	0.219066666666667	0.299666666666667	0.183666666666667
5.87804875449185	0.192866666666667	0.218866666666667	0.299866666666667	0.183533333333333
5.87905573016186	0.192666666666667	0.218733333333333	0.300133333333333	0.183533333333333
5.8800368859429	0.192533333333333	0.218666666666667	0.300333333333333	0.1836
5.88104386161291	0.192466666666667	0.218666666666667	0.300533333333333	0.1836
5.88205083728293	0.1924	0.218666666666667	0.3008	0.183533333333333
5.88305781295294	0.192266666666667	0.218733333333333	0.301066666666667	0.183466666666667
5.88403896873398	0.192066666666667	0.218666666666667	0.301266666666667	0.1834
5.88504594440399	0.191933333333333	0.218533333333333	0.301466666666667	0.183333333333333
5.88605292007401	0.191733333333333	0.2184	0.301666666666667	0.183266666666667
5.88705989574402	0.191533333333333	0.218266666666667	0.3018	0.1832
5.88804105152506	0.1914	0.2182	0.301866666666667	0.1832
5.88904802719508	0.1914	0.2182	0.301933333333333	0.183133333333333
5.89005500286509	0.191333333333333	0.2182	0.301933333333333	0.183066666666667
5.89103615864613	0.1912	0.218133333333333	0.301933333333333	0.183133333333333
5.89204313431614	0.191133333333333	0.218	0.301933333333333	0.183066666666667
5.89305010998616	0.191	0.217866666666667	0.301933333333333	0.183
