particle_id,diameter,mass,boundary_id,start_time,end_time,start_particle_velocity_x,start_particle_velocity_y,start_particle_velocity_z,start_particle_angular_velocity_x,start_particle_angular_velocity_y,start_particle_angular_velocity_z,end_particle_velocity_x,end_particle_velocity_y,end_particle_velocity_z,end_particle_angular_velocity_x,end_particle_angular_velocity_y,end_particle_angular_velocity_z
46,2.5e-05,1.45708e-11,2,3.12369,3.12369,-0.47207,-0.750501,1.62976,-2222.2,1208.23,0,-0.357265,-0.56894,-1.46338,-38416.3,24092.8,0
48,5e-05,1.16566e-10,2,3.12369,3.12369,0.0295143,-0.134373,4.94102,0,0,0,0.0276231,-0.125764,-4.44172,-859.483,-188.771,0
54,2.5e-05,1.45708e-11,2,3.1237,3.1237,0.616471,-0.20824,1.59952,-587.054,-1271.45,0,0.517571,-0.17517,-1.44101,-7173.71,-20958.9,0
47,2.5e-05,1.45708e-11,2,3.1237,3.1237,0.072412,-0.759937,1.61394,-2265.09,-195.269,0,0.0576409,-0.605497,-1.45449,-33043.1,-3138.78,0
60,2.5e-05,1.45708e-11,2,3.1237,3.1237,0.615153,0.382656,1.593,768.544,-1608.56,0,0.495856,0.307854,-1.4299,15665.6,-25371.8,0
58,2.5e-05,1.45708e-11,2,3.12371,3.12371,-0.472878,0.356072,1.56649,514.232,877.193,0,-0.407791,0.306793,-1.41151,10315.1,13826.1,0
59,2.5e-05,1.45708e-11,2,3.12372,3.12372,0.049497,0.321357,1.56286,544.059,-115.464,0,0.0465986,0.30237,-1.40826,4292.18,-688.197,0
52,2.5e-05,1.45708e-11,2,3.12372,3.12372,-0.435884,-0.204746,1.56702,-528.31,809.314,0,-0.397703,-0.186991,-1.41222,-4054.17,8383.78,0
64,2.5e-05,1.45708e-11,2,3.12617,3.12617,-0.282089,-0.346162,5.13374,0,0,0,-0.268081,-0.328975,-4.62044,-3410.79,2779.31,0
65,2.5e-05,1.45708e-11,2,3.12641,3.12642,-0.191988,-0.345634,5.11259,0,0,0,-0.181723,-0.327155,-4.60431,-3671.68,2039.46,0
94,2.5e-05,1.45708e-11,2,3.12643,3.12643,-0.279434,0.146419,5.06062,0,0,0,-0.258046,0.135211,-4.55868,2234.04,4263.7,0
70,2.5e-05,1.45708e-11,2,3.12663,3.12663,-0.278725,-0.25449,5.05943,0,0,0,-0.257202,-0.23485,-4.56003,-3892.88,4262.79,0
68,2.5e-05,1.45708e-11,2,3.12663,3.12663,0.120824,-0.335492,5.08723,0,0,0,0.114205,-0.317125,-4.56991,-3623.84,-1304.84,0
66,2.5e-05,1.45708e-11,2,3.12664,3.12664,-0.084997,-0.331975,5.0742,0,0,0,-0.080547,-0.314602,-4.56712,-3434.9,879.323,0
76,2.5e-05,1.45708e-11,2,3.12665,3.12665,-0.266749,-0.151747,5.03158,0,0,0,-0.252008,-0.143367,-4.52969,-1662.25,2921.27,0
88,2.5e-05,1.45708e-11,2,3.12665,3.12665,-0.27797,0.0477959,5.04721,0,0,0,-0.262724,0.0451687,-4.54152,519.37,3022.74,0
67,2.5e-05,1.45708e-11,2,3.12666,3.12666,0.013683,-0.326233,5.0568,0,0,0,0.012872,-0.3069,-4.54957,-3844.26,-161.231,0
82,2.5e-05,1.45708e-11,2,3.12666,3.12666,-0.258878,-0.049673,5.00997,0,0,0,-0.243898,-0.046802,-4.51219,-571.773,2978.73,0
89,2.5e-05,1.45708e-11,2,3.12689,3.12689,-0.178516,0.0505176,4.98919,0,0,0,-0.168529,0.0476846,-4.49102,559.35,1978.23,0
93,2.5e-05,1.45708e-11,2,3.12689,3.1269,0.20929,0.0549975,4.99584,0,0,0,0.197552,0.0519058,-4.48941,610.598,-2325.26,0
87,2.5e-05,1.45708e-11,2,3.1269,3.1269,0.19863,-0.0527104,4.99009,0,0,0,0.183868,-0.0487987,-4.49164,-778.949,-2933.9,0
86,2.5e-05,1.45708e-11,2,3.1269,3.1269,0.110037,-0.0503316,4.99706,0,0,0,0.104195,-0.0476649,-4.50259,-530.244,-1158.43,0
90,2.5e-05,1.45708e-11,2,3.1269,3.1269,-0.0846281,0.0500975,4.99605,0,0,0,-0.0786004,0.0465244,-4.49583,709.057,1198.34,0
92,2.5e-05,1.45708e-11,2,3.1269,3.1269,0.10997,0.0529322,4.99904,0,0,0,0.101989,0.0490858,-4.49866,763.642,-1587.17,0
81,2.5e-05,1.45708e-11,2,3.1269,3.1269,0.205571,-0.154706,4.99072,0,0,0,0.18984,-0.142872,-4.49546,-2355.39,-3129.41,0
77,2.5e-05,1.45708e-11,2,3.1269,3.12691,-0.182236,-0.153764,4.98692,0,0,0,-0.168344,-0.142047,-4.49141,-2332.22,2763.73,0
78,2.5e-05,1.45708e-11,2,3.1269,3.12691,-0.0800961,-0.146902,4.98996,0,0,0,-0.0742119,-0.136114,-4.49103,-2147.33,1170.65,0
71,2.5e-05,1.45708e-11,2,3.12691,3.12691,-0.190499,-0.25605,4.98779,0,0,0,-0.180597,-0.242744,-4.48922,-2643.88,1966.82,0
91,2.5e-05,1.45708e-11,2,3.12691,3.12691,0.00929696,0.0439874,5.00141,0,0,0,0.00877325,0.0415064,-4.49331,492.46,-104.126,0
73,2.5e-05,1.45708e-11,2,3.12691,3.12691,0.0133741,-0.24228,4.97854,0,0,0,0.0123855,-0.224373,-4.48131,-3567.87,-196.941,0
79,2.5e-05,1.45708e-11,2,3.12692,3.12712,0.0126943,-0.147351,4.99203,0,0,0,0.0117725,-0.136659,-4.49237,-2125.66,-183.078,0
85,2.5e-05,1.45708e-11,2,3.12711,3.12712,0.0121736,-0.0533554,5.00376,0,0,0,0.0114573,-0.0502272,-4.49042,-620.065,-141.314,0
