    time           f_x           f_y          f_z          f_xv         f_yv          f_zv         f_xp          f_yp          f_zp     
 0.7108777513  0.0727347729  0.0336458700 0.0000000000 0.0577887440 -0.0000883815 0.0000000000  0.0149460289  0.0337342515 0.0000000000 
 0.7151967421  0.0730902020  0.0352293711 0.0000000000 0.0576836727 -0.0000833429 0.0000000000  0.0154065293  0.0353127140 0.0000000000 
 0.7195159631  0.0724285748  0.0321621349 0.0000000000 0.0575678729 -0.0000822557 0.0000000000  0.0148607019  0.0322443906 0.0000000000 
 0.7238354866  0.0722857173  0.0321342969 0.0000000000 0.0574495698 -0.0000805747 0.0000000000  0.0148361475  0.0322148715 0.0000000000 
 0.7281553255  0.0724583664  0.0332106296 0.0000000000 0.0573404729 -0.0000761804 0.0000000000  0.0151178935  0.0332868100 0.0000000000 
 0.7324752880  0.0722824454  0.0330485773 0.0000000000 0.0572307239 -0.0000747497 0.0000000000  0.0150517215  0.0331233270 0.0000000000 
 0.7367955646  0.0720696189  0.0329994803 0.0000000000 0.0571199992 -0.0000721062 0.0000000000  0.0149496198  0.0330715865 0.0000000000 
 0.7411160669  0.0719660219  0.0329175599 0.0000000000 0.0570122685 -0.0000696297 0.0000000000  0.0149537534  0.0329871895 0.0000000000 
 0.7454369565  0.0719705021  0.0326902193 0.0000000000 0.0569074089 -0.0000672642 0.0000000000  0.0150630932  0.0327574834 0.0000000000 
 0.7497579821  0.0719821669  0.0329439403 0.0000000000 0.0568002693 -0.0000647232 0.0000000000  0.0151818975  0.0330086634 0.0000000000 
 0.7540793286  0.0717096645  0.0320140321 0.0000000000 0.0566930479 -0.0000632248 0.0000000000  0.0150166166  0.0320772569 0.0000000000 
 0.7584010312  0.0715925983  0.0319354708 0.0000000000 0.0565888885 -0.0000618525 0.0000000000  0.0150037098  0.0319973233 0.0000000000 
 0.7627231209  0.0725160459  0.0349535444 0.0000000000 0.0565120960 -0.0000592892 0.0000000000  0.0160039498  0.0350128337 0.0000000000 
 0.7668774302  0.0710454920  0.0277727123 0.0000000000 0.0563999742 -0.0000585865 0.0000000000  0.0146455178  0.0278312989 0.0000000000 
 0.7710322655  0.0710080983  0.0369049403 0.0000000000 0.0562894906 -0.0000545690 0.0000000000  0.0147186076  0.0369595093 0.0000000000 
 0.7751866770  0.0711809661  0.0360249708 0.0000000000 0.0561894438 -0.0000481127 0.0000000000  0.0149915223  0.0360730835 0.0000000000 
 0.7793416939  0.0724338454  0.0309247650 0.0000000000 0.0561199393 -0.0000466742 0.0000000000  0.0163139061  0.0309714392 0.0000000000 
 0.7834967623  0.0696098105  0.0312008741 0.0000000000 0.0559920643 -0.0000445239 0.0000000000  0.0136177463  0.0312453980 0.0000000000 
 0.7876516953  0.0736227532  0.0340102979 0.0000000000 0.0559578689 -0.0000436500 0.0000000000  0.0176648843  0.0340539479 0.0000000000 
